,Track,Artist,Release Date,Spotify Playlist Count 2023,Spotify Chart Counts 2023,Streams 2023,Apple Music Playlist Count 2023,Apple Music Chart Counts 2023,Deezer Playlist Count 2023,Deezer Chart Counts 2023,Shazam Chart Counts 2023,Bpm,Key,Mode,Danceability %,Valence %,Energy %,Acousticness %,Instrumentalness %,Liveness %,Speechiness %
864,ULTRA SOLO REMIX,"De La Ghetto, Feid, Polima WestCoast, Paloma Mami, Pailita",6/16/2022,2341,0,279717388.0,37,2,38,2,0.0,110.0,C#,Major,91.0,59.0,82.0,8.0,0.0,6.0,8.0
865,Massive,Drake,6/17/2022,5263,0,195628667.0,66,89,61,0,11.0,125.0,E,Minor,51.0,5.0,68.0,12.0,2.0,15.0,6.0
866,Betty (Get Money),Yung Gravy,6/10/2022,2402,0,221752937.0,45,2,26,0,1.0,102.0,C#,Major,73.0,62.0,75.0,0.0,0.0,34.0,8.0
867,Ojos Marrones,Lasso,2/6/2022,795,11,263280370.0,26,18,15,1,4.0,120.0,G#,Minor,81.0,72.0,65.0,4.0,0.0,14.0,4.0
868,POP!,Nayeon,6/24/2022,571,0,213505179.0,19,21,14,0,2.0,97.0,D,Major,80.0,36.0,86.0,4.0,0.0,3.0,5.0
869,Layla,"Sch��rze, DJ R",3/24/2022,832,3,130419412.0,18,124,24,1,0.0,140.0,F,Minor,44.0,41.0,92.0,0.0,0.0,44.0,7.0
870,MORE,j-hope,7/1/2022,565,0,155795783.0,6,52,11,0,0.0,97.0,D,Major,78.0,31.0,72.0,1.0,0.0,11.0,4.0
871,Sweet Child O' Mine,Guns N' Roses,1/1/1987,41231,1,1553497987.0,228,151,6720,3,99.0,125.0,F#,Major,45.0,67.0,90.0,9.0,11.0,10.0,5.0
872,Last Last,Burna Boy,5/12/2022,4526,12,293466523.0,156,275,150,3,128.0,88.0,D#,Minor,80.0,55.0,56.0,13.0,0.0,8.0,9.0
873,SNAP,Rosa Linn,3/19/2022,1818,0,711366595.0,3,0,63,0,353.0,170.0,,Major,56.0,52.0,64.0,11.0,0.0,45.0,7.0
874,Sticky,Drake,6/17/2022,2814,0,191448892.0,38,105,25,0,2.0,137.0,A#,Minor,88.0,8.0,49.0,9.0,0.0,9.0,14.0
875,Hot Shit (feat. Ye & Lil Durk),"Kanye West, Lil Durk, Cardi B",7/1/2022,1601,0,85924992.0,11,0,2,0,0.0,157.0,A,Major,88.0,52.0,69.0,0.0,0.0,8.0,23.0
876,Ai Preto,"L7nnon, DJ Biel do Furduncinho, Bianca",6/3/2022,894,4,176103902.0,28,0,54,0,0.0,130.0,F#,Major,95.0,83.0,57.0,54.0,0.0,10.0,25.0
877,La Loto,"Anitta, Tini, Becky G",7/6/2022,945,0,121189256.0,49,3,57,0,0.0,90.0,C#,Major,85.0,80.0,83.0,10.0,0.0,8.0,11.0
878,die first,Nessa Barrett,6/24/2022,767,0,131746175.0,25,0,22,0,0.0,183.0,G#,Minor,44.0,44.0,67.0,7.0,0.0,12.0,13.0
879,Afraid To Feel,LF System,5/2/2022,5898,5,244790012.0,129,55,128,0,101.0,128.0,C#,Major,58.0,68.0,91.0,2.0,0.0,27.0,11.0
880,Baile no Morro,"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",6/10/2022,685,2,129314708.0,17,0,24,0,30.0,130.0,D#,Minor,71.0,78.0,40.0,46.0,0.0,7.0,45.0
881,c��mo dormi,Rels B,8/4/2022,1452,35,331511413.0,16,15,20,0,0.0,126.0,C#,Major,63.0,56.0,43.0,24.0,0.0,12.0,23.0
882,Bad Decisions (with BTS & Snoop Dogg),"Snoop Dogg, BTS, Benny Blanco",8/5/2022,1456,0,219196651.0,53,2,33,0,0.0,120.0,,Major,77.0,94.0,87.0,2.0,0.0,23.0,12.0
883,STAYING ALIVE (feat. Drake & Lil Baby),"Drake, DJ Khaled, Lil Baby",8/5/2022,2107,0,170732845.0,51,1,50,0,0.0,130.0,E,Minor,72.0,18.0,46.0,7.0,0.0,28.0,8.0
884,Caile,Luar La L,12/18/2020,1494,2,273914335.0,17,12,15,0,0.0,122.0,,Major,70.0,46.0,76.0,30.0,0.0,9.0,45.0
885,Si Te La Encuentras Por Ah,Feid,8/5/2022,1379,4,179061440.0,23,10,18,0,0.0,172.0,G#,Minor,74.0,46.0,58.0,15.0,0.0,13.0,8.0
886,GIVENCHY,Duki,7/20/2022,625,4,185236961.0,13,18,12,0,0.0,103.0,G#,Major,61.0,38.0,62.0,14.0,0.0,23.0,40.0
887,ALIEN SUPERSTAR,Beyonc,7/29/2022,2688,0,171788484.0,39,47,36,0,0.0,122.0,A#,Minor,55.0,46.0,64.0,0.0,0.0,17.0,10.0
888,Mary On A Cross,Ghost,9/13/2019,2668,2,387080183.0,38,266,78,0,141.0,130.0,B,Major,47.0,56.0,90.0,0.0,0.0,10.0,4.0
889,Attention,NewJeans,8/1/2022,799,12,264717480.0,14,141,9,0,1.0,105.0,A#,Minor,81.0,70.0,65.0,24.0,0.0,8.0,4.0
890,THE SHADE,Rex Orange County,3/11/2022,1189,6,244928911.0,17,10,16,0,4.0,120.0,F,Major,90.0,73.0,51.0,39.0,0.0,9.0,6.0
891,"Come Back Home - From ""Purple Hearts""",Sofia Carson,7/12/2022,367,0,97610446.0,28,67,195,0,0.0,145.0,G,Major,56.0,43.0,53.0,24.0,0.0,12.0,4.0
892,El Rescate,"Grupo Marca Registrada, Junior H",7/22/2022,527,4,287278853.0,10,43,3,1,0.0,99.0,G,Minor,79.0,64.0,59.0,28.0,0.0,11.0,14.0
893,Heartless,Kanye West,1/1/2008,17504,34,887906111.0,63,39,1315,0,2.0,88.0,A#,Minor,79.0,66.0,65.0,5.0,0.0,25.0,14.0
894,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",7/15/2022,3113,0,123473120.0,54,6,124,1,0.0,126.0,A,Major,81.0,90.0,73.0,28.0,0.0,29.0,4.0
895,Siempre Pendientes,"Peso Pluma, Luis R Conriquez",8/15/2022,685,5,295152154.0,15,79,4,2,0.0,136.0,,Major,77.0,71.0,75.0,33.0,1.0,13.0,4.0
896,JGL,"Luis R Conriquez, La Adictiva",2/18/2022,782,9,323455692.0,15,33,6,1,0.0,113.0,G#,Major,70.0,97.0,59.0,55.0,0.0,27.0,12.0
897,Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",6/16/2022,2442,0,240918092.0,81,4,248,1,6.0,132.0,B,Major,82.0,49.0,88.0,20.0,0.0,21.0,3.0
898,Pipoco,"Melody, Ana Castela, Dj Chris No Beat",5/20/2022,1112,4,191873381.0,22,2,65,1,3.0,135.0,G#,Major,77.0,74.0,74.0,47.0,0.0,34.0,8.0
899,Hold Me Closer,"Elton John, Britney Spears",11/10/2017,4967,0,284216603.0,165,10,177,4,73.0,126.0,,Major,67.0,49.0,77.0,11.0,0.0,19.0,11.0
900,Forget Me,Lewis Capaldi,9/9/2022,2520,4,239411309.0,93,95,84,9,202.0,102.0,C#,Minor,67.0,72.0,74.0,30.0,0.0,36.0,4.0
901,After LIKE,IVE,8/22/2022,767,12,265548837.0,20,129,11,0,12.0,125.0,,Major,68.0,80.0,92.0,10.0,0.0,9.0,12.0
902,Bound 2,Kanye West,1/1/2013,19806,7,703301727.0,33,11,274,0,0.0,149.0,C#,Major,37.0,28.0,66.0,14.0,0.0,9.0,5.0
903,B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",6/15/2022,5153,6,244585109.0,102,53,113,12,0.0,137.0,,Major,74.0,71.0,89.0,24.0,61.0,15.0,5.0
904,Talk that Talk,TWICE,8/26/2022,615,0,189476119.0,14,77,15,1,2.0,120.0,D#,Minor,77.0,78.0,91.0,14.0,0.0,33.0,12.0
905,BILLIE EILISH.,Armani White,1/20/2022,2537,0,277132266.0,49,1,67,11,1.0,100.0,C#,Major,90.0,75.0,50.0,11.0,0.0,9.0,26.0
906,Ferxxo 100,Feid,6/3/2022,1647,30,278920007.0,20,49,23,2,2.0,164.0,G#,Minor,70.0,58.0,57.0,25.0,0.0,15.0,7.0
907,KU LO SA - A COLORS SHOW,Oxlade,6/10/2022,2019,8,222410722.0,117,72,107,1,7.0,93.0,A#,Minor,65.0,79.0,66.0,31.0,0.0,22.0,7.0
908,Prohibidox,Feid,9/13/2022,1473,12,185392587.0,25,36,25,1,0.0,180.0,C#,Minor,65.0,52.0,80.0,5.0,0.0,6.0,25.0
909,Static,Steve Lacy,7/15/2022,1613,0,202452860.0,21,15,13,0,0.0,79.0,C#,Major,34.0,22.0,31.0,43.0,63.0,10.0,7.0
910,The Scientist,Coldplay,8/5/2002,30992,6,1608164312.0,124,25,7827,1,0.0,146.0,F,Major,56.0,21.0,44.0,73.0,0.0,11.0,2.0
911,Sparks,Coldplay,7/10/2000,10826,4,624101957.0,24,0,805,0,0.0,103.0,C#,Major,37.0,17.0,27.0,75.0,5.0,10.0,3.0
912,Talk,YEAT,9/2/2022,920,0,148461629.0,10,1,8,0,0.0,140.0,E,Minor,70.0,26.0,76.0,8.0,0.0,54.0,23.0
913,XQ Te Pones As,"Yandel, Feid",9/13/2022,308,0,47093942.0,6,1,6,0,0.0,92.0,A#,Major,81.0,48.0,70.0,13.0,0.0,15.0,7.0
914,Selfish,PnB Rock,6/23/2016,2468,0,380319238.0,15,0,0,0,0.0,102.0,C#,Minor,64.0,4.0,60.0,11.0,0.0,19.0,4.0
915,Sin Se�,"Ovy On The Drums, Quevedo",7/22/2022,1097,2,209106362.0,18,10,13,1,1.0,118.0,B,Minor,82.0,75.0,85.0,33.0,1.0,11.0,4.0
916,Lady Mi Amor,Feid,9/13/2022,330,0,53987404.0,3,0,2,0,0.0,93.0,D,Major,78.0,75.0,62.0,6.0,0.0,15.0,6.0
917,Poland,Lil Yachty,6/23/2022,1584,0,115331792.0,38,0,24,0,0.0,150.0,F,Minor,70.0,26.0,56.0,14.0,83.0,11.0,5.0
918,THE LONELIEST,M��ne,10/7/2022,1585,5,225093344.0,78,65,328,1,198.0,130.0,D,Major,52.0,24.0,60.0,0.0,0.0,8.0,3.0
919,Bye Bye,"Marshmello, Juice WRLD",10/14/2022,766,0,84697729.0,16,0,9,0,0.0,83.0,D#,Minor,65.0,24.0,53.0,6.0,0.0,51.0,4.0
920,BABY OTAKU,"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",8/18/2022,836,0,159240673.0,14,1,13,0,0.0,102.0,A,Major,84.0,43.0,75.0,5.0,0.0,6.0,8.0
921,Nxde,(G)I-DLE,10/17/2022,430,6,170709584.0,14,116,9,0,11.0,136.0,E,Minor,73.0,65.0,91.0,4.0,0.0,48.0,18.0
922,Miss You,Southstar,5/16/1982,2020,0,154356956.0,77,10,119,0,40.0,145.0,A,Major,66.0,24.0,58.0,17.0,0.0,19.0,5.0
